fit_scheme,num_demos,layer,cosine_as_is,cosine_pc1_sign_aligned,deployed_pc1_sign,control_pc1_sign_as_is,control_pc1_flipped,pc1_sign_agreed_as_is
perlayer,200,11,-0.7807945929117514,0.9724004205163979,-1,1,True,False
perlayer,200,12,0.368924842082332,0.36892484208233206,-1,-1,False,True
perlayer,200,13,0.38963175005885164,0.38963175005885176,-1,-1,False,True
perlayer,200,14,0.006047686985341679,0.06849705232902388,-1,1,True,False
perlayer,200,15,-0.20056585032495391,0.23715907002948577,-1,1,True,False
perlayer,200,16,0.29616923882580787,0.6671037429731959,1,-1,True,False
perlayer,200,17,0.2641166718164525,0.7534151769871417,1,-1,True,False
perlayer,200,18,0.3153005453361452,0.8055675890566837,1,-1,True,False
perlayer,200,19,0.32109834707595086,0.829675330989141,1,-1,True,False
perlayer,200,20,0.352755718260834,0.8577509072057881,1,-1,True,False
perlayer,200,21,0.917017135169984,0.9170171351699837,1,1,False,True
perlayer,200,22,0.9259044183073628,0.9259044183073627,1,1,False,True
perlayer,200,23,0.9258998919583553,0.9258998919583552,1,1,False,True
perlayer,200,24,0.9274335347710067,0.9274335347710064,1,1,False,True
perlayer,200,25,0.9308535872433129,0.9308535872433128,1,1,False,True
perlayer,200,26,0.9387915905695572,0.938791590569557,1,1,False,True
perlayer,200,27,0.9458084973793033,0.9458084973793032,1,1,False,True
perlayer,200,28,0.944707914618797,0.9447079146187967,1,1,False,True
perlayer,200,29,0.9442647039190307,0.9442647039190304,1,1,False,True
perlayer,200,30,0.9473090864031849,0.9473090864031842,1,1,False,True
perlayer,200,31,0.9580639549011581,0.9580639549011577,1,1,False,True
perlayer,500,0,0.9993895089213346,0.9993895089213345,-1,-1,False,True
perlayer,500,1,-0.9935793439497012,0.9951311907968334,1,-1,True,False
perlayer,500,2,0.9978719480933089,0.9978719480933087,-1,-1,False,True
perlayer,500,3,-0.9953788747424902,0.9981285924468494,1,-1,True,False
perlayer,500,4,-0.9941438630762371,0.9978448952472817,1,-1,True,False
perlayer,500,5,0.9985030626017023,0.9985030626017022,-1,-1,False,True
perlayer,500,6,0.9973930128584082,-0.9784257903215623,1,-1,True,False
perlayer,500,7,0.9970646506437364,0.9970646506437361,-1,-1,False,True
perlayer,500,8,0.9976728331203601,0.9976728331203596,1,1,False,True
perlayer,500,9,0.9887854976899655,0.9887854976899653,1,1,False,True
perlayer,500,10,0.9904346291642235,0.9904346291642231,-1,-1,False,True
perlayer,500,11,0.9844482869640666,0.9844482869640666,-1,-1,False,True
perlayer,500,12,0.8607399644369567,0.8607399644369568,-1,-1,False,True
perlayer,500,13,-0.38642492654790866,0.8768426436431253,1,-1,True,False
perlayer,500,14,0.17238452250409722,0.604257512536519,1,-1,True,False
perlayer,500,15,0.5080296460229545,0.5080296460229544,1,1,False,True
perlayer,500,16,0.1169375384862041,0.837111958131696,1,-1,True,False
perlayer,500,17,0.07544172004574563,0.8980166051295728,1,-1,True,False
perlayer,500,18,0.21228951133855356,0.9190773192701078,1,-1,True,False
perlayer,500,19,0.9265643964065227,0.9265643964065224,1,1,False,True
perlayer,500,20,0.9362293096403472,0.9362293096403472,1,1,False,True
perlayer,500,21,0.684675306125639,0.949581113929493,1,-1,True,False
perlayer,500,22,0.7275006370740877,0.9502266115251046,1,-1,True,False
perlayer,500,23,0.7719873882160457,0.9468707902111825,1,-1,True,False
perlayer,500,24,0.8018094599004998,0.9476544692676352,1,-1,True,False
perlayer,500,25,0.8379584077653262,0.9486826618829926,1,-1,True,False
perlayer,500,26,0.8821887619348128,0.9542355528117146,1,-1,True,False
perlayer,500,27,0.9159649530397715,0.9586684874502843,1,-1,True,False
perlayer,500,28,0.9231439240242507,0.9584307764416036,1,-1,True,False
perlayer,500,29,0.9311919270844115,0.959267645495005,1,-1,True,False
perlayer,500,30,0.9437611277674952,0.962227886868957,1,-1,True,False
perlayer,500,31,0.8875974538799958,0.9660254653088021,1,-1,True,False
